urn,dhlabid,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,ocr_creator,ocr_timestamp
URN:NBN:no-nb_digibok_2008100104048,100563743.0,Maya : roman,"Gaarder , Jostein",oai:nb.bibsys.no:999916819834702202,199ed6ce6b61d22d4a217346ebaa6b94,8203181635 / 8252536859,Oslo,19990101.0,1999.0,Aschehoug,nob,norske / romaner / 1990-tallet / skjønnlitteratur / norsk,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008090100095,100563900.0,Like sant som jeg er virkelig,"Ørstavik , Hanne",oai:nb.bibsys.no:999902667704702202,b729d8cc21eb79fe307437a46e376c75,8270948543,[Oslo],19990101.0,1999.0,Oktober,nob,norske / romaner / 1990-tallet / skjønnlitteratur / mor-datter / forhold / roman / psykologi,839.823 / 839.82,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008091001006,100563956.0,Bob Dylan,"Rem , Håvard",oai:nb.bibsys.no:999915332594702202,557168086e22b005292e6a74d78bedec,8205267553,[Oslo],19990101.0,1999.0,Gyldendal,nob,Musikere / Rock / populærmusikk / biografier / pop / rock,782.42164092 / 781.66092,biography,Faglitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008091204022,100563964.0,Drømme på vår jord : en barndom,"Devold , Simon Flem",oai:nb.bibsys.no:999824225394702202,410de7aa424312afe0137c6fb66c8384,8202133106,[Oslo],19980101.0,1998.0,Cappelen,nob,barn,305.23092,biography,Faglitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008081904032,100564062.0,1950 : high noon,"Staalesen , Gunnar",oai:nb.bibsys.no:999821833804702202,25f1f44bfe1870e1b286d3c43cfd580a,8205254990 / 8257412236,[Oslo],19980101.0,1998.0,Gyldendal,nob,skjønnlitteratur / norsk / litteratur / norsk-litteratur / norskeromaner / 1990-tallet / bergen / 1900-tallet / kriminalromaner,839.823,novel,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008082104077,100564070.0,Lille Norge i store Alaska,"Henriksen , Levi / Haugen , Jens",oai:nb.bibsys.no:999908862804702202,1de7a2c11896c4658adf9450b2a6a875,8247600897,,19990101.0,1999.0,Genesis,nob,Innvandring / Lokalhistorie / Norsk-amerikanere / Utvandring / emigranter / norge / usa / immigranter / lokalhistorie / forente / stater / alaska / utvandring / emigrasjon / innvandring / immigrasjon / petersburg / norsk-amerikanere / alask,979.004395,,Faglitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008082200036,100564077.0,Schpaaa : roman,"Lambertz-Nilssen , Jonas / Poppe , Erik / Blad , Hans Petter",oai:nb.bibsys.no:999822052794702202,848675ede265a2cda3397f5c658c0b29,8245802913,Oslo,19980101.0,1998.0,Orion,und / nob,Fictional Works [PT] / Street Drugs / Adolescent / Crime / Norway / Juvenile Delinquency / Violence / oppvekst / ungdom / kriminalitet / oslo / nittitallet,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008082704078,100564106.0,Fall : roman,"Bjørnstad , Ketil",oai:nb.bibsys.no:999913753354702202,dd28dcc19ce89b3e7be7cd6987e4cc55,8202177049 / 8203181376,Oslo,19990101.0,1999.0,Aschehoug,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008090304007,100564119.0,Maratonherren : roman,"Hagerup , Klaus",oai:nb.bibsys.no:999822611284702202,6dd8630a612c7e6124bd59be88a3e668,8203179932,Oslo,19980101.0,1998.0,Aschehoug,nob,norske / romaner / 1990-tallet / maratonløp,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008090304046,100564125.0,Tristan kommer : roman,"Fastvold , Marianne",oai:nb.bibsys.no:999811993804702202,56bd10d873e08f945e5069a7dc64b5ca,8205252602 / 8273504964,[Oslo],19980101.0,1998.0,Gyldendal,nob,norske / romaner / 1990-tallet,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008092504016,100564160.0,Hundreårsromanen . [ 2 ] : Vitner,"Calmeyer , Bengt / Nilsen , Odd",oai:nb.bibsys.no:999917194924702202,01ba27c0d25f5486d10248db86f98ed2,8203180086,Oslo,19990101.0,1999.0,Aschehoug,nob,norske / historiske / romaner / 1900-tallet / 1990-tallet / fb,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2009110304155,100564213.0,Mellomkrigstid : 1920-1940,"Fure , Odd-Bjørn",oai:nb.bibsys.no:999617498904702202,fc6f9520d531e3ca0c321ed5995319cf,8200225348 / 8200226395,,19960101.0,1996.0,Universitetsforl.,nob,Foreign policy / International relations / International cooperation / History / Utenrikspolitikk / norge / utenrikspolitikk / 1920-tallet / 1930-tallet / norsk / historie / internasjonalt / samarbeid,327.481 / 327.481,,Faglitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008082200038,100564284.0,Gabriel Scott : et levnetsløp,"Dahl , Truls Erik / Skistad , Ruth",oai:nb.bibsys.no:999826216474702202,50dce48ceedbb9a89ae31e27cddd53a9,8291674159,[Fjellhammer],19980101.0,1998.0,Juni forl.,nob,norsk / litteratur / forfattere / historie / kritikk,839.823,biography,Faglitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008082504002,100564303.0,India : stevnemøte med skjebnen,"Færøvik , Torbjørn",oai:nb.bibsys.no:999915194774702202,9444fae436cf45114bfa7ae0a1e07a35,8202185904,,19990101.0,1999.0,Cappelen,nob,Geography / Travel / Culture / Customs and traditions / History / Dagligliv / Kultur / dagligliv / kultur / historie / india / geografi / reiseskildringernordmenn / 1990-tallet / reiser / asia,915.404,,Faglitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008082600013,100564313.0,Vinternotater,"Hagerup , Henning",oai:nb.bibsys.no:999900764664702202,cb8814b2eedb5d80bed0d55e31be29a9,8210042319,[Oslo],19980101.0,1998.0,Tiden,nob,Litteraturvitenskap / litteraturvitenskap / litteraturkritikk / norsk / litteratur / essays,809 / 839.82,,Faglitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008092200018,100564401.0,Vildresinn : roman,"Skjelbred , Margaret",oai:nb.bibsys.no:999821650994702202,2928d05b14b471a01646a3a92e668686,8210042521,[Oslo],19980101.0,1998.0,Tiden,nob,norske / romaner / 1990-tallet,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008121504067,100564415.0,Lenker : roman,"Elstad , Anne Karin",oai:nb.bibsys.no:999818962864702202,3d95b60354f10aff021e527bed4f947f,8257412171 / 8203180094,Oslo,19980101.0,1998.0,Aschehoug,nob,norske / romaner / 1990-tallet / skjønnlitteratur / voksne,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008092200040,100564517.0,Familiekrets : fem kapitler,"Bøge , Kari",oai:nb.bibsys.no:999822575464702202,2dcb2e43ec9f72ee5537815d5152b984,8203180078,Oslo,19980101.0,1998.0,Aschehoug,nob,norsk / prosa,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2009111200089,100564571.0,Hallo ? Er det noen her ?,"Gaarder , Jostein / Kjelsen , Reidar",oai:nb.bibsys.no:999614804834702202,55891c4ffcb8de6244c598d0e6715daa,8205227659 / 8252531458,[Oslo],19960101.0,1996.0,Gyldendal,nob,barnelitteratur / barnebøker / filosofi / søsken / roman,839.823,novel,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008081504048,100564679.0,Den sjette søvn,"Grøndahl , Christopher Friis-Baastad",oai:nb.bibsys.no:999822586824702202,6822056a5c89a19b165f5d6632eb190c,8203180493,Oslo,19980101.0,1998.0,Aschehoug,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008121504114,100564712.0,De nasjonale strateger,"Slagstad , Rune",oai:nb.bibsys.no:999822013974702202,0c27a17f2aff35cfa6f163c6e71f9ff8,8253020244,,19980101.0,1998.0,Pax,nob,Historie / statsvitenskap / historie / norge / norsk-historie / 1800-tallet / 1900-tallet / politikk / politisk / noreg / 1800-talet / 1900-talet / sosiologi / norsk / modernisering / norgeshistorie / økonomi / demokrati / kultur / samfunnsvitenskap / skolepolitikk,948.104 / 948.1,,Faglitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008070700043,100564803.0,Vita brevis : Floria Aemilias brev til Aurel Augustin : roman,"Gaarder , Jostein / Kramer , Hilde",oai:nb.bibsys.no:999617809914702202,33e5da61bbafbda6c3f3dcc327ebf4dd,8203241654 / 8252528511,Oslo,19960101.0,1996.0,Aschehoug,nob,skjønnlitteratur / roman / fortellinger / filosofi,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008071404088,100564811.0,Blinddøra : noveller,"Herbjørnsrud , Hans",oai:nb.bibsys.no:999721687294702202,1b6ed939e9f5f6a1b41c498ed8f016dc,8205252629,Oslo,19970101.0,1997.0,Gyldendal,nob,norsk / kortprosa / 1990-tallet / fb / litteratur,839.823 / 839.82,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008071704013,100564820.0,Siamesisk : roman,"Sæterbakken , Stig",oai:nb.bibsys.no:999725765174702202,efec08392c6239477de773568d715e10,8202175437,[Oslo],19970101.0,1997.0,Cappelen,nob,norske / romaner / 1990-tallet / fb,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008081404020,100564845.0,Løvens gap : roman,"Holt , Anne / Reiss-Andersen , Berit",oai:nb.bibsys.no:999723717024702202,8900f352611e0ec17785694f352cbf01,8257411922 / 8202175003,,19970101.0,1997.0,Cappelen,nob,skjønnlitteratur / voksne / norsk-litteratur / norsk / krim/spenning / 1990-tallet / kriminalromaner,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008091204050,100564862.0,Knut Hamsuns brev . 4 : 1915-1924,"Hamsun , Knut / Falck , Sissel / Næss , Harald S. / Sjøgren-Erichsen , Torleif",oai:nb.bibsys.no:999723236514702202,016db7c52214bce8e3612c2608b4b61c,8205252939 / 8205222460,Oslo,19970101.0,1997.0,Gyldendal,nob,norge / litteraturhistorie / norsk / knut / hamsun / biografi / norske / forfattere / brev / 1800- / 1900-tallet / nobelpris / 1920,839.826,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008121000133,100565046.0,Historien om Norge . 2 : Under fremmed styre,"Alnæs , Karsten",oai:nb.bibsys.no:999708341014702202,5f0a438c6aea02ea1f6dd37f16a6f5b2,8205230293 / 8257411817,,19970101.0,1997.0,Gyldendal,nob,Norway / History / Senmiddelalder / Tidlig nytid / norge / historie / nyere / tid / middelalderen / reformasjonen / svartedauden / 1300-1800,948.1 / 948.1,,Faglitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008121100103,100565049.0,Magenta : roman,"Bauer , Ola",oai:nb.bibsys.no:999708727204702202,0a0c55104273e38a95d02affddefb1e0,8270947776 / 8202165644,Oslo,19970101.0,1997.0,Oktober,nob,norske / romaner / 1990-tallet,839.823,novel,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2009120100107,100565103.0,Norsk referansegrammatikk,"Faarlund , Jan Terje / Lie , Svein / Vannebo , Kjell Ivar",oai:nb.bibsys.no:999617528154702202,3edb3d931ecb29750772b864a9c3bdb0,8200225690,Oslo,19970101.0,1997.0,Universitetsforl.,mul / nob / nno,Norsk språk / Grammatikk / Norsk språk / Grammatikk / Skriftspråk / norsk / språk / grammatikk / skriftspråk / norge / nynorsk / bokmål / ordbøker / språkvitenskap / norsk-grammatikk / oppslagsverk / rettskriving,439.825 / 439.825,,Faglitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008050604059,100565132.0,Varulven : roman,"Sandemose , Aksel",oai:nb.bibsys.no:997521009984702202,d78858bc9921564ccdf9d52cdf1030f3,,Oslo,19580101.0,1958.0,Aschehoug,nob,,839.82 /  839.93,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008050604069,100565136.0,Sigurd Hoels fortellekunst : en studie i ny-impresjonistisk stil,"Øyslebø , Olaf",oai:nb.bibsys.no:999003341774702202,d54f02b9cde16b8b585489d5f91a977b,,Oslo,19580101.0,1958.0,Gyldendal,nob,hoel / sigurd / norske / romaner,839.828 / 839.93,,Faglitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008050904017,100565139.0,Meninger i motvind,"Sæverud , Ole",oai:nb.bibsys.no:999322926744702202,e9b5ba49113ce86e4b8d353e464c772a,,Oslo,19590101.0,1959.0,Land og Kirke,nob,Oppbyggelseslitteratur / religion / essays,204,,Faglitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008072204057,100565359.0,Drift : roman,"Bjørnstad , Ketil",oai:nb.bibsys.no:999600433904702202,20f327a8c1c0c32937b4a7183fceb22d,8257411132 / 8203175538,Oslo,19960101.0,1996.0,Aschehoug,nob,skjønnlitteratur / voksne / roman,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2009110600105,100565375.0,Knut Hamsun og hans kors,"Tumyr , Arne",oai:nb.bibsys.no:999620001164702202,73fe8c2cdc7ab77fd5a45e886ad6cddf,8299395003,Kristiansand,19960101.0,1996.0,Norgesforl.,nob,norsk / litteratur / biografier / norske / forfattere / 1900-tallet/i / hamsun / knut / forf / litteraturhistorie / 1900-1945,839.823,biography,Faglitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008080100077,100565527.0,Samlede essays : Pedagogikk,"Bjørneboe , Jens",oai:nb.bibsys.no:999618346254702202,9958144ad751b6c7e39858cd35bf4b97,8205245126 / 8205245096,Oslo,19960101.0,1996.0,Gyldendal,nob,steinerskolen / pedagogikk / steinerskoler,839.824,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2007060404008,100565810.0,Menneskelige oppgaver og utveier : ledende idéer i mitt forfatterskap,"Nissen , Ingjald",oai:nb.bibsys.no:997521899484702202,daf1754c30e0f880c6559ebcb2ac4f66,,Oslo,19660101.0,1966.0,Aschehoug,nob,filosofi/psykologi / psykopati / hersketeknikker / holdninger / livssyn / moral / etikk,170,,Faglitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2008102300058,100565916.0,Sølvfiskene og andre eventyr ( for voksne ),"Nyquist , Arild",oai:nb.bibsys.no:990013476754702202,13b72c5c238b442baac805120c24be1b,8203183557,Oslo,20000101.0,2000.0,Aschehoug,nob,norsk / prosa / fortellinger,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2007051600025,100566319.0,Reaktoren og bomben,"Randers , Gunnar / Døderlein , Jan M.",oai:nb.bibsys.no:997511812344702202,ca408b772035049aa60add96497f992e,,Oslo,19680101.0,1968.0,Cappelen,nob,Atomvåpen / Kjernekraft / atomfysikk / atomkraft / atombomber / kjernekraft / stråling / kjernefysikk / atomenergi,621.48 / 539.7,,Faglitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2009093004018,100566750.0,Et velsignet barn : roman,"Ullmann , Linn",oai:nb.bibsys.no:990518873984702202,ff96a7c2f74403b27eb96846f9e3b54c,8249502078 / 8252561896,Oslo,20050101.0,2005.0,Oktober,nob,norske / romaner / 2000-tallet / skjønnlitteratur / barn / far / norsk / prosa,839.823,novel,Skjønnlitteratur,digibok,nb,20060101
URN:NBN:no-nb_digibok_2007012901014,100566890.0,Det gjelder Europa : inntrykk fra Tyskland høsten 1948,"Skard , Eiliv",oai:nb.bibsys.no:999619270114702202,2ae40f3c81fb264a8d3f45ed0a048a89,,,19480101.0,1948.0,Aschehoug,nob,Etterkrigstiden / moralsk / opprusting,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2007012901037,100566903.0,Brev fra Nils Collett Vogt til Nini Roll Anker,"Vogt , Nils Collett / Kielland , Eugenia",oai:nb.bibsys.no:999200981934702202,47da041ff02a1a352b620e19f1ac39fb,,Oslo,19470101.0,1947.0,Aschehoug,nob,norsk / litteratur / brev / brevlitteratur,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2007013001025,100566919.0,Stort sett pent vær,"Omre , Arthur",oai:nb.bibsys.no:999300454404702202,d5d1532fda4cc883029015d56296eb58,,Oslo,19480101.0,1948.0,Gyldendal,nob,norsk / kortprosa / 1940-tallet,839.82,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2007013101010,100566922.0,Cleng Peerson og Nils med luggen,"Holt , Kåre / Ravn , Thorvald L.",oai:nb.bibsys.no:999303450964702202,f8963d7da15ae6d0938d3914d1d962fd,,Oslo,19480101.0,1948.0,Gyldendal,nob,Utvandring / Innvandring / Emigranthistorie / Utvandring / utvandring / emigrasjon / emigranthistorie / emigrantlitteraturlitteratur,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2007013101012,100566923.0,Samlede verker . 6 : De unge døde,"Grieg , Nordahl",oai:nb.bibsys.no:999012736354702202,508fe47361a2183c8ed8aa135f4256ac,,Oslo,19470101.0,1947.0,Gyldendal,nob,skjønnlitteratur,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2007013101025,100566929.0,Far og sønn : barndomserindringer,"Hambro , C. J.",oai:nb.bibsys.no:999011315634702202,5f8efedb96dd623657807be1b4b5aa8f,,Oslo,19480101.0,1948.0,Gyldendal,nob,biografi/genealogi / biografier / hambro / cj,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2007013101048,100566938.0,Samlede verker . 3 : Ung må verden ennu være,"Grieg , Nordahl",oai:nb.bibsys.no:999012735704702202,29feb93533c3f4f528f8933446eb5ed9,,Oslo,19470101.0,1947.0,Gyldendal,nob,skjønnlitteratur,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2007020101004,100566945.0,Samlede verker . 7 : Kinesiske dager ; Spansk sommer ; Flagget,"Grieg , Nordahl",oai:nb.bibsys.no:999012736514702202,14c9560c9fb4e9a668459e7e40524b31,,Oslo,19470101.0,1947.0,Gyldendal,nob,skjønnlitteratur,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2007020101007,100566947.0,Festskrift til professor Olaf Broch på hans 80-årsdag : fra venner og elever,"Stang , Chr . S. / Krag , Erik / Gallis , Arne / Broch , Olaf",oai:nb.bibsys.no:999405058354702202,d551f207834ae9dccfe77445699a0283,,Oslo,19470101.0,1947.0,I kommisjon hos Dybwad,mul / nob / eng / ger,Lingvistikk / Festskrifter / generelle / skrifter,,festschrift,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2007020101018,100566953.0,Sneen som falt i fjor,"Larsen , Gunnar",oai:nb.bibsys.no:999314581454702202,c475346526738cea2384cccc4e38eedc,,Oslo,19480101.0,1948.0,Gyldendal,nob,,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2007020601054,100567235.0,Mennesker og boliger : familieundersøkelsens resultater,"Brochmann , Odd / Waal , Nic / Størmer , Fredrik / Anonsen , Carl",oai:nb.bibsys.no:998311404374702202,da7c3cbd2a88b5bdc02dad98cb2dc512,,,19480101.0,1948.0,Tanum,nob,boliger / norge / Oslo / Boligpolitikk / Innredning / Boliger / Boligundersøkelser / Boligforhold / boforhold / oslo / 1940-tallet / innredning,,,Uklassifisert,digibok,nb,20060101
URN:NBN:no-nb_digibok_2007020701007,100567238.0,Skredet,"Havrevold , Finn",oai:nb.bibsys.no:999510915224702202,976ce388ee23cb90a70c809ecd297590,,Oslo,19490101.0,1949.0,Aschehoug,nob,,839.82,,Uklassifisert,digibok,nb,20060101
